date,tmax,tmin
2020/6/1,86,66.2
2020/6/2,84.2,64.4
2020/6/3,82.4,66.2
2020/6/4,86,66.2
2020/6/5,84.2,66.2
2020/6/6,86,68
2020/6/7,82.4,66.2
2020/6/8,86,66.2
2020/6/9,86,66.2
2020/6/10,86,66.2
2020/6/11,82.4,64.4
2020/6/12,82.4,64.4
2020/6/13,87.8,68
2020/6/14,87.8,68
2020/6/15,87.8,69.8
2020/6/16,89.6,69.8
2020/6/17,84.2,68
2020/6/18,86,71.6
2020/6/19,87.8,68
2020/6/20,87.8,71.6
2020/6/21,89.6,71.6
2020/6/22,89.6,71.6
2020/6/23,82.4,68
2020/6/24,84.2,68
2020/6/25,84.2,69.8
2020/6/26,82.4,71.6
2020/6/27,87.8,71.6
2020/6/28,89.6,71.6
2020/6/29,86,71.6
2020/6/30,86,73.4
2020/7/1,93.2,71.6
2020/7/2,84.2,69.8
2020/7/3,80.6,68
2020/7/4,86,71.6
2020/7/5,89.6,66.2
2020/7/6,91.4,68
2020/7/7,93.2,71.6
2020/7/8,89.6,73.4
